category	heavy_metal	heavy_metal	no	no	heavy_metal	heavy_metal	heavy_metal	heavy_metal	organic	organic	organic	organic	organic	organic	no
k_Bacteria|p_Acidobacteriota|c_Blastocatellia|o_11-24|f_midas_f_1424|g_midas_g_15395|s_midas_s_15395	    0	    0	    1	    0	    0	   0	    0	    0	  13	    0	    0	    0	   0	   0	   5
k_Bacteria|p_Acidobacteriota|c_Blastocatellia|o_11-24|f_midas_f_1424|g_midas_g_15395|s_midas_s_27838	    0	    0	    2	    0	    0	   0	    0	    0	  36	    0	    0	    0	   1	   0	   5
k_Bacteria|p_Acidobacteriota|c_Blastocatellia|o_11-24|f_midas_f_1424|g_midas_g_24596|s_midas_s_26642	    0	    0	   17	    0	    0	   0	    0	    0	  20	    0	    0	    0	   5	   1	  11
k_Bacteria|p_Acidobacteriota|c_Blastocatellia|o_11-24|f_midas_f_1424|g_midas_g_43488|s_midas_s_43488	    0	    0	    2	    0	    0	   0	    0	    0	   5	    0	    0	    0	   0	   0	   3
k_Bacteria|p_Acidobacteriota|c_Blastocatellia|o_Blastocatellales|f_Blastocatellaceae	    2	    0	  155	   46	    0	   0	    0	    0	 206	   84	    0	   27	 847	  26	 129
k_Bacteria|p_Acidobacteriota|c_Blastocatellia|o_Blastocatellales|f_Blastocatellaceae|g_Aridibacter	    0	    0	    2	    5	    0	   0	    0	    0	   8	    3	    0	    0	 123	   2	   0
k_Bacteria|p_Acidobacteriota|c_Blastocatellia|o_Blastocatellales|f_Blastocatellaceae|g_Blastocatella	    0	    0	  187	    4	    0	   0	    0	    0	 285	    9	    0	    0	   3	   0	 167
k_Bacteria|p_Acidobacteriota|c_Blastocatellia|o_Blastocatellales|f_Blastocatellaceae|g_Blastocatella|s_midas_s_38228	    0	    0	    0	    1	    0	   0	    0	    0	   0	    3	    0	    0	   8	   0	   0
k_Bacteria|p_Acidobacteriota|c_Blastocatellia|o_Blastocatellales|f_Blastocatellaceae|g_Blastocatella|s_midas_s_75904	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	   26	   1	  10	   0
k_Bacteria|p_Acidobacteriota|c_Blastocatellia|o_Blastocatellales|f_Blastocatellaceae|g_JGI_0001001-H03	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	   5	   6	   0
k_Bacteria|p_Acidobacteriota|c_Blastocatellia|o_Blastocatellales|f_Blastocatellaceae|g_JGI_0001001-H03|s_midas_s_11823	    0	    0	    0	    0	    0	   0	    0	    0	   0	    4	    0	    0	   0	   0	   0
k_Bacteria|p_Acidobacteriota|c_Blastocatellia|o_Blastocatellales|f_Blastocatellaceae|g_JGI_0001001-H03|s_midas_s_170	    0	    0	  321	  196	    0	   0	    0	    0	2273	  392	    0	    0	   1	   0	   0
k_Bacteria|p_Acidobacteriota|c_Blastocatellia|o_Blastocatellales|f_Blastocatellaceae|g_JGI_0001001-H03|s_midas_s_22233	    0	    0	    4	    0	    0	   0	    0	    0	   1	    1	    0	    0	   0	   0	   0
k_Bacteria|p_Acidobacteriota|c_Blastocatellia|o_Blastocatellales|f_Blastocatellaceae|g_JGI_0001001-H03|s_midas_s_233	    0	    0	    2	    0	    0	   0	    0	    0	   0	    0	    0	    0	  11	   4	   0
k_Bacteria|p_Acidobacteriota|c_Blastocatellia|o_Blastocatellales|f_Blastocatellaceae|g_OLB17|s_midas_s_8191	    0	    0	    0	    0	    0	   0	    0	    0	   0	    1	    0	    0	 146	   0	   0
k_Bacteria|p_Acidobacteriota|c_Blastocatellia|o_Blastocatellales|f_Blastocatellaceae|g_Stenotrophobacter|s_midas_s_2599	    0	    0	   21	    8	    0	   0	    0	    0	  58	   64	    0	    0	   0	   0	   0
k_Bacteria|p_Acidobacteriota|c_Blastocatellia|o_Blastocatellales|f_Blastocatellaceae|g_midas_g_11115|s_midas_s_11115	    1	    0	  137	   20	    0	   0	    0	    0	  98	   54	    0	    0	 248	   9	  33
k_Bacteria|p_Acidobacteriota|c_Blastocatellia|o_DS-100|f_midas_f_502|g_midas_g_502|s_midas_s_502	    0	    0	    1	    0	    0	   0	    0	    0	  18	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Acidobacteriota|c_Vicinamibacteria|o_Vicinamibacterales|f_Vicinamibacteraceae|g_Luteitalea|s_midas_s_52415	    0	    0	    3	    0	    0	   0	    0	    0	  12	    5	    0	    0	   0	   0	   0
k_Bacteria|p_Acidobacteriota|c_Vicinamibacteria|o_Vicinamibacterales|f_Vicinamibacteraceae|g_Luteitalea|s_midas_s_74974	    0	    0	    0	    1	    3	  57	    0	    0	   0	    1	    0	    1	   0	   0	   0
k_Bacteria|p_Acidobacteriota|c_Vicinamibacteria|o_Vicinamibacterales|f_Vicinamibacteraceae|g_midas_g_30776|s_midas_s_30776	    0	    0	    0	    4	    0	   0	    0	    0	   2	    6	    0	    0	   0	   1	   0
k_Bacteria|p_Acidobacteriota|c_Vicinamibacteria|o_Vicinamibacterales|f_Vicinamibacteraceae|g_midas_g_433|s_midas_s_433	    3	    0	   38	    0	    0	   0	    0	    0	  76	    1	    0	    0	   0	   0	 123
k_Bacteria|p_Acidobacteriota|c_Vicinamibacteria|o_Vicinamibacterales|f_midas_f_352|g_midas_g_1291	    0	    0	    0	    0	    0	   0	    0	    0	   2	    0	    0	    0	   0	   0	  19
k_Bacteria|p_Acidobacteriota|c_Vicinamibacteria|o_Vicinamibacterales|f_midas_f_352|g_midas_g_1584|s_midas_s_27832	    0	    0	   17	    5	    0	   0	    0	    0	   5	    3	    0	    0	   0	   0	   0
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_IMCC26256|f_midas_f_2|g_midas_g_290|s_midas_s_911	    0	    0	    1	    1	    0	   0	    0	    0	   0	   11	    0	    0	   0	   9	   0
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_IMCC26256|f_midas_f_2|g_midas_g_4307|s_midas_s_28416	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	   9	 125	   0
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_IMCC26256|f_midas_f_641|g_midas_g_1268|s_midas_s_17379	    0	    0	    0	    0	    0	   0	    0	    0	   0	    3	    0	    0	   0	   0	   0
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Iamiaceae|g_Iamia|s_Aquihabitans_daechungensis	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	   1	   0	   0
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Iamiaceae|g_Iamia|s_midas_s_4523	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Iamiaceae|g_Iamia|s_midas_s_8564	    0	    0	    2	    0	    0	  10	    0	    0	   3	    1	    0	    0	  31	   0	   0
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Ilumatobacteraceae|g_CL500-29_marine_group	    0	    0	    0	   17	    0	   0	    0	    0	   0	    0	    0	    0	   9	   1	   0
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Ilumatobacteraceae|g_Ilumatobacter|s_midas_s_3354	    0	    0	    0	    0	    0	   0	    0	    0	   3	    3	    0	    0	   0	   0	   0
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Ilumatobacteraceae|g_Ilumatobacter|s_midas_s_52175	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	   8	   4	   0
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Microtrichaceae|g_midas_g_120|s_midas_s_7498	    0	    0	    3	    8	    2	   0	    0	    0	   5	   35	    0	    0	   3	   8	   0
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Microtrichaceae|g_midas_g_1877|s_midas_s_26066	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	   0	  11	   0
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Microtrichaceae|g_midas_g_1877|s_midas_s_45068	    0	    0	    0	    8	    0	   1	    0	    0	   0	    1	    0	    0	   0	   4	   0
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Microtrichaceae|g_midas_g_5461	    0	    0	    0	    0	    0	   7	    0	    0	   0	    0	    0	    0	   0	   7	   0
k_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Microtrichaceae|g_midas_g_5461|s_midas_s_26502	    0	    0	    0	    0	   17	   7	    0	    0	   0	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Actinobacteriota|c_Actinobacteria	    0	    2	    0	    0	    0	   0	    0	    0	   0	    1	    0	    0	   3	   1	  18
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium	    0	    0	    2	    0	    0	   0	    0	    0	   0	    0	    1	    0	  97	   1	   0
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycobacterium	    0	    0	    1	    0	    0	   0	    1	    2	   2	    0	    0	    0	  13	   3	  11
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycobacterium|s_midas_s_6589	    1	    0	    3	    1	    0	   0	    0	    0	   1	    0	    0	    0	   4	   0	   6
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Corynebacteriales|f_Nocardiaceae|g_Rhodococcus|s_midas_s_55347	    0	    0	    0	    0	    0	   0	    0	    0	   0	    1	    0	    0	   7	   4	   0
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Frankiales	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	  21	   0	   0
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Frankiales|f_Nakamurellaceae|g_Nakamurella|s_midas_s_7218	    0	    0	    0	    0	    0	   1	    0	    0	   0	    0	    0	    0	   4	  14	   0
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Frankiales|f_Sporichthyaceae|g_Longivirga|s_midas_s_1420	    0	    0	    0	    0	    0	   0	    0	    0	   3	    4	    0	    0	   6	   7	   0
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Kineosporiales|f_Kineosporiaceae	    0	    0	    0	    0	    0	   0	   99	 1962	   0	    2	    0	    0	   1	   1	   0
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Micrococcales|f_Cellulomonadaceae|g_Actinotalea|s_midas_s_31096	    0	    0	    0	    0	    0	   5	    0	    0	   0	    0	    0	    0	   1	   0	   0
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Micrococcales|f_Dermatophilaceae|g_midas_g_739|s_midas_s_8771	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    1	   6	   6	   0
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae	    0	    0	    1	    2	    2	  15	    0	    0	   0	    1	    0	   15	2233	   1	   1
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Leifsonia	    0	    0	    0	    0	    1	   3	    0	    0	   0	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Leucobacter	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	  28	   0	   1
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Propionibacteriales|f_Nocardioidaceae|g_Nocardioides	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	 230	   1	   0
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Propionibacteriales|f_Propionibacteriaceae|g_Propioniciclava	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	  17	   2	   0
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Propionibacteriales|f_Propionibacteriaceae|g_Propioniciclava|s_midas_s_22998	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	 268	 428	   0
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Propionibacteriales|f_Propionibacteriaceae|g_Propioniciclava|s_midas_s_84715	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	   0	   6	   0
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Pseudonocardiales|f_Pseudonocardiaceae|g_Pseudonocardia|s_midas_s_35701	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	  34	 161	   0
k_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_midas_o_5|f_midas_f_5|g_midas_g_957|s_midas_s_51625	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	  15	   1	   0
k_Bacteria|p_Actinobacteriota|c_Coriobacteriia	    1	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	   1	   0	  10
k_Bacteria|p_Actinobacteriota|c_Thermoleophilia|o_Gaiellales|f_midas_f_269|g_midas_g_7904|s_midas_s_36787	    0	    0	    2	    0	    0	   1	    0	    0	   0	    0	    0	    0	   7	   6	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	  41	  16	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_13884	    0	    0	 1138	    5	    0	   0	    0	    0	  28	  562	    0	    0	 382	   0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_19225|s_midas_s_45938	    0	    0	    2	    1	    0	   0	    0	    0	   0	    8	    0	    0	   7	   0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_1936|s_midas_s_4999	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	   1	  13	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_19477|s_midas_s_35379	    0	    0	    0	    0	    0	  12	    0	    0	   0	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_23693|s_midas_s_23693	    0	    0	    0	    1	    0	   0	    0	    0	   0	   62	    0	    0	   1	   1	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_2591	    0	    0	    0	   15	    0	   0	    0	    0	   0	   40	    0	    0	   1	   0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_2591|s_midas_s_39374	    0	    0	    0	    0	    0	   1	    0	    0	   0	    0	    0	    0	  24	   4	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_26419|s_midas_s_26419	    0	    0	    1	    0	    0	   0	    0	    0	   0	    2	    0	    0	   7	   0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_30374|s_midas_s_79801	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	  15	   7	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_32338|s_midas_s_39871	    0	    0	    0	    0	    0	   0	    0	    0	   0	    1	    0	    0	   0	   0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_37483|s_midas_s_37483	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	   3	 107	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_4488|s_midas_s_4488	    0	    0	    1	   15	    0	   0	    0	    0	   0	    3	    0	    0	   0	   0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_45752|s_midas_s_45752	    0	    0	    6	    0	    0	   0	    0	    0	   0	    0	    0	    0	  85	   0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_45752|s_midas_s_55473	    0	    0	    0	    1	    0	   0	    0	    0	   0	    0	    0	    0	  82	   1	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_46816|s_midas_s_46816	    0	    0	    0	    0	    0	   1	    0	    0	   0	    0	    0	    0	  15	   0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_46820|s_midas_s_46820	    0	    0	    0	   23	    0	   0	    0	    0	   0	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_5022	    0	    0	    5	    4	    0	   0	    0	    0	   2	  271	    0	    0	 250	  12	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_50541|s_midas_s_50541	    0	    0	    1	    0	    0	   0	    0	    0	   0	   43	    0	    0	 276	   1	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_57422|s_midas_s_64391	    0	    0	    0	    0	    0	   5	    0	    0	   0	    0	    0	    0	   8	   0	   0
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_Fimbriimonadaceae|g_midas_g_8938|s_midas_s_8938	    0	    0	    0	    0	    0	   0	    0	    0	   1	    0	    0	    0	   0	   0	  18
k_Bacteria|p_Armatimonadota|c_Fimbriimonadia|o_Fimbriimonadales|f_midas_f_1936|g_midas_g_5385|s_midas_s_5385	    0	    0	  140	    0	    0	   0	    0	    0	 172	   55	    0	    0	   0	   0	   0
k_Bacteria|p_Armatimonadota|c_midas_c_216|o_midas_o_9505|f_midas_f_9505|g_midas_g_9505|s_midas_s_9505	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	 375	  36	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia	    0	    0	    0	    0	    0	   1	    0	    0	   0	    0	  311	 7560	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Bacteroidetes_BD2-2|g_midas_g_9711|s_midas_s_9711	    0	    0	    2	    0	    0	   0	    0	    0	 242	   34	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella_9|s_Prevotella_copri	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	   0	   0	  20
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella_9|s_midas_s_19231	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	   0	   0	   6
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidetes_VC2.1_Bac22|f_midas_f_8637|g_midas_g_75972	    0	  690	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Bacteroidetes_VC2.1_Bac22|f_midas_f_8637|g_midas_g_8637|s_midas_s_8637	    0	    0	    0	    0	    0	   0	    0	    0	   2	    1	    0	    0	   5	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13	    0	    0	    0	    0	    0	   0	    0	    0	  11	    6	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13|g_midas_g_11187|s_midas_s_22420	    0	    0	   90	  790	    0	   0	    0	    0	 101	  180	    0	    0	   0	   6	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13|g_midas_g_11689|s_midas_s_11926	    0	    0	   35	   25	    0	   0	    0	    0	   0	    2	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13|g_midas_g_12471|s_midas_s_12471	    0	    0	    2	    0	    0	   0	    0	    0	  15	    1	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13|g_midas_g_13168|s_midas_s_32408	    0	    0	    4	    0	    0	   0	    0	    0	   6	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13|g_midas_g_1851|s_midas_s_17459	    0	    0	    0	    0	    0	   0	    0	    0	 197	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13|g_midas_g_26505|s_midas_s_26505	    0	    0	    1	   18	    0	   0	    0	    0	   0	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13|g_midas_g_26505|s_midas_s_48116	    0	    0	    0	    0	    0	   0	    0	    0	   0	    2	    0	  349	   0	   6	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13|g_midas_g_45860	    0	    0	    0	    0	    0	   0	    0	    0	  34	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_37-13|g_midas_g_53517|s_midas_s_53517	    0	    0	    0	    0	    0	2261	    0	    0	  37	    0	    0	    0	  26	   3	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	  28	   2	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Aurantisolimonas|s_midas_s_21921	    7	    0	    0	    0	   34	   0	    0	    0	  36	    1	    0	    0	   3	   3	   1
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Aurantisolimonas|s_midas_s_4709	    0	    0	    0	    9	    0	   0	    0	    0	   0	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Dinghuibacter|s_midas_s_35549	    0	    0	    0	    7	    0	   0	    0	    0	   0	    0	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Edaphobaculum	    0	    0	    0	    0	    3	 211	    0	    0	   0	    0	    0	    0	   5	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Edaphobaculum|s_midas_s_13996	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	  24	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Edaphobaculum|s_midas_s_28423	    0	    0	    8	    2	    0	   0	    0	    0	   0	    5	    0	    0	   0	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Edaphobaculum|s_midas_s_57929	    0	    0	    0	    0	    0	   0	    0	    0	   8	    0	    0	    0	   6	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Edaphobaculum|s_midas_s_59613	    0	    0	    1	    0	    0	   0	    0	    0	   1	    1	    0	    0	  33	   0	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter	  180	    0	   26	   12	    1	   0	    0	    0	 852	  256	    0	    0	  39	   4	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_10851	    0	    0	    4	   21	    2	   0	    0	    0	  65	  106	    0	    0	2686	 428	   0
k_Bacteria|p_Bacteroidota|c_Bacteroidia|o_Chitinophagales|f_Chitinophagaceae|g_Ferruginibacter|s_midas_s_11	    0	    0	    0	    0	    0	   0	    0	    0	   0	    0	    0	    0	 425	 631	   0
